District,MPI_HCR
Barwani,33.52
Dindori,34.57
Singrauli,31.32
Sidhi,33.07
Sheopur,38
Chhatarpur,27.23
Vidisha,23.16
Mandla,28.28
Tikamgarh,21.19
Guna,23.09
Damoh,27.39
Shivpuri,27.92
Umaria,23.14
Panna,32.43
Khandwa (East Nimar),15.15
Ashoknagar,27.29
Shahdol,23.51
Ratlam,20.68
Dhar,18.31
Burhanpur,18.6
Rajgarh,24.04
Seoni,22.37
Anuppur,20.04
Katni,21.84
Sagar,22.26
Khargone (West Nimar),17.99
Balaghat,13.59
Rewa,28.88
Betul,21.18
Raisen,13.78
Harda,12.92
Shajapur,14.7
Datia,15.45
Satna,19.01
Mandsaur,18.38
Bhind,17.61
Morena,22.95
Neemuch,9.88
Chhindwara,14.37
Dewas,12.9
Narsimhapur,15.11
Ujjain,14.38
Sehore,12.28
Hoshangabad,14.85
Gwalior,9.75
Jabalpur,14.78
Bhopal,6.75
Indore,5.83
Agar Malwa,15.01
Nandurbar,33.17
Dhule,21.44
Jalna,14.12
Hingoli,12.26
Nanded,12.33
Yavatmal,10.48
Bid (MH),13.06
Parbhani,14.92
Washim,14.54
Gadchiroli,12.75
Jalgaon,13.39
Nashik,13.46
Buldana,8.77
Chandrapur (MH),5.7
Ratnagiri,7.64
Osmanabad,5.34
Gondiya,8.49
Latur,6.25
Thane,5.62
Ahmadnagar,7.19
Sindhudurg,5.59
Aurangabad (MH),9.45
Solapur,7.16
Akola,6.09
Amravati,8.22
Raigarh (MH),8.38
Satara,4.73
Sangli,2.14
Kolhapur,4.48
Wardha,2.39
Bhandara,5.85
Nagpur,1.25
Pune,2.92
Mumbai Suburban,1.15
Mumbai,1.21
Palghar,13.3
Tamenglong,18.5
Senapati,15.6
Ukhrul,17.87
Chandel,14.74
Churachandpur,15.35
Thoubal,7.46
Imphal East,5.19
Bishnupur,6.91
Imphal West,2.12
East Jantia Hills,43.79
Ribhoi,31.67
East Garo Hills,14.96
West Khasi Hills,52.48
West Garo Hills,8
East Khasi Hills,24.1
South Garo Hills,9.77
North Garo Hills,13.26
South West Garo Hills,18.27
South West Khasi Hills,40.98
West Jaintia Hills,52.08
Lawngtlai,21.63
Mamit,9.29
Saiha,6.9
Lunglei,5.15
Kolasib,5.25
Champhai,1.51
Serchhip,3.3
Aizawl,0.87
Mon,22.95
Tuensang,29.21
Kiphire,28.19
Longleng,26.9
Phek,17.28
Peren,17.46
Zunheboto,20.31
Dimapur,7.23
Wokha,11.99
Kohima,6.5
Mokokchung,7.22
Malkangiri,45.01
Nabarangapur,33.45
Koraput,33.54
Rayagada,34.03
Kalahandi,19.47
Mayurbhanj,30.57
Kandhamal,25.3
Kendujhar,26.76
Gajapati,28.14
Debagarh,16.56
Nuapada,20.19
Baudh,16.27
Dhenkanal,15.98
Balangir,9.52
Bhadrak,16.6
Subarnapur,8.68
Sundargarh,14.77
Baleshwar,14.21
Anugul,13.87
Bargarh,11.51
Sambalpur,10.05
Ganjam,6.31
Kendrapara,8.9
Jajapur,14.1
Nayagarh,6.63
Jharsuguda,7.09
Khordha,3.95
Cuttack,6.31
Jagatsinghapur,3.53
Puri,3.29
Yanam,3.95
Karaikal,2.28
Puducherry,0.3
Mahe,0.19
Mansa,7.8
Firozpur,8.42
Tarn Taran,7.83
Muktsar,7.57
Moga,5.65
Amritsar,3.37
Sangrur,3.53
Barnala,5.49
Bathinda,8.03
Sahibzada Ajit Singh Nagar,3.35
Kapurthala,5.02
Gurdaspur,5.08
Hoshiarpur,1.5
Ludhiana,4.59
Patiala,2.95
Fatehgarh Sahib,3.1
Shahid Bhagat Singh Nagar,1.31
Jalandhar,3.58
Faridkot,6.04
Rupnagar,2.88
Fazilka,8.45
Pathankot,2.35
Barmer,20.64
Jaisalmer,22.36
Pratapgarh (RJ),29.68
Banswara,27.45
Udaipur,14.45
Dungarpur,17.44
Sirohi,19.62
Jalor,17.02
Bharatpur,23.88
Dhaulpur,26.65
Karauli,26.25
Jhalawar,16.07
Bundi,18.88
Sawai Madhopur,18.66
Baran,16.29
Alwar,20.93
Rajsamand,12.96
Chittaurgarh,13.11
Jodhpur,17.02
Bhilwara,14.93
Dausa,14.32
Pali,9.41
Tonk,14.72
Bikaner,17.7
Churu,17.32
Nagaur,13.08
Hanumangarh,10.08
Ajmer,9.87
Ganganagar,9.43
Jaipur,7.4
Sikar,9.09
Kota,5.59
Jhunjhunun,9.32
West District (SK),2.77
North District (SK),5.17
East District (SK),2.12
South District (SK),2.9
Pudukkottai,4.63
Viluppuram,3.62
Ariyalur,3.53
Sivaganga,3.96
Nagapattinam,3.31
Thoothukkudi,2.69
Virudhunagar,3.02
Perambalur,1.78
Salem,1.94
Thanjavur,2.45
Thiruvarur,2.76
Ramanathapuram,2.47
Cuddalore,3.75
Tiruvannamalai,2.37
Madurai,1.88
Tirunelveli,1.96
Dharmapuri,2.1
Krishnagiri,2.19
Theni,1.91
Karur,3.11
Dindigul,4.52
Tiruchirappalli,2.92
Tiruppur,1.94
Vellore,1.09
Erode,1.4
Kancheepuram,1.23
Namakkal,1.39
Thiruvallur,1.18
Coimbatore,0.96
The Nilgiris,1.33
Kanniyakumari,0.67
Chennai,1.03
Adilabad,14.24
Mahabubnagar,10.27
Nizamabad,6.76
Medak,9.34
Nalgonda,4.4
Khammam,3.18
Warangal Urban,2.41
Karimnagar,2.5
Ranga Reddy,3.83
Hyderabad,2.52
Bhadradri Kothagudem,4.33
Jagitial,4.77
Jangoan,2.91
Jayashankar Bhupalapally,6.33
Jogulamba Gadwal,15.37
Kamareddy,11.9
Komaram Bheem Asifabad,16.59
Mahabubabad,6.45
Mancherial,4.43
Medchal-Malkajgiri,3.06
Nagarkurnool,5.95
Nirmal,7.14
Peddapalli,2.17
Rajanna Sircilla,3.68
Sangareddy,7.09
Siddipet,3.39
Suryapet,3.89
Vikarabad,12.5
Wanaparthy,8.86
Warangal Rural,6.45
Yadadri Bhuvanagiri,4.24
North Tripura,17.85
Dhalai,21.89
South Tripura,11.89
West Tripura,6
Gomati,9.06
Khowai,17.27
Sepahijala,12.27
Unakoti,24.92
Shrawasti,49.62
Bahraich,54.44
Balrampur (UP),41.55
Kheri,34.73
Gonda,29.71
Budaun,40.37
Kaushambi,30.31
Siddharthnagar,37.67
Sitapur,40.15
Chitrakoot,31.41
Shahjahanpur,32.57
Hardoi,34.14
Sonbhadra,30.55
Kanshiram Nagar,31.43
Mahrajganj,19.47
Bara Banki,31.68
Pilibhit,22.54
Kannauj,28.9
Sant Kabir Nagar,22.57
Fatehpur,27.38
Mirzapur,22
Basti,19.89
Kushinagar,20.54
Rampur,23.03
Unnao,22.96
Sant Ravidas Nagar,22.04
Bareilly,23.39
Farrukhabad,25.44
Banda,33.8
Ghazipur,18.22
Jaunpur,16.13
Faizabad,17.79
Moradabad,17.8
Etah,25.63
Aligarh,22
Sultanpur,22.32
Chandauli,25.41
Jyotiba Phule Nagar,21.11
Ballia,19.97
Kanpur Dehat,20.68
Pratapgarh (UP),21.29
Rae Bareli,22.37
Lalitpur,29.98
Mahoba,23.81
Agra,18.2
Bulandshahr,17.44
Allahabad,21.21
Mathura,22.42
Firozabad,19.06
Ambedkar Nagar,21
Mau,13.36
Muzaffarnagar,12.91
Deoria,16.09
Mahamaya Nagar,22.39
Azamgarh,17.14
Saharanpur,17.86
Mainpuri,18.03
Hamirpur,17.29
Bijnor,16.42
Auraiya,19.28
Jalaun,18.12
Gorakhpur,15.83
Varanasi,15.26
Etawah,15.99
Baghpat,13.64
Meerut,13.24
Jhansi,15.14
Ghaziabad,6.93
Gautam Buddha Nagar,12.16
Kanpur Nagar,9.11
Lucknow,8.48
Amethi,28.96
Hapur,12.6
Sambhal,35.06
Shamli,22.45
Hardwar,16.29
Uttarkashi,9.54
Udham Singh Nagar,11.26
Almora,9.47
Champawat,9.59
Bageshwar,7.5
Tehri Garhwal,7.94
Chamoli,6.81
Nainital,10.09
Pithoragarh,6.48
Rudraprayag,5.14
Garhwal,8.91
Dehradun,3.02
Puruliya,26.84
Uttar Dinajpur,21.65
Maldah,15.57
South 24 Parganas,10.96
Murshidabad,16.55
Birbhum,18.27
Bankura,18.49
Paschim Medinipur,18.14
Jalpaiguri,8.85
Dakshin Dinajpur,13.37
Koch Bihar,10.31
Paschim Barddhaman,11.2
Hugli,7.36
Purba Medinipur,12.48
Howrah,6.06
Darjeeling,5.45
Nadia,8.2
North 24 Parganas,4.37
Kolkata,2.56
Purba Barddhaman,14.32
