year,hdi,log_gni_pc,HDI_category
1996,0.507,7.789,Low
1997,0.513,7.819,Low
1998,0.519,7.868,Low
1999,0.528,7.945,Low
2000,0.536,7.965,Low
2001,0.543,8.001,Low
2002,0.552,8.026,Medium
2003,0.569,8.088,Medium
2004,0.581,8.153,Medium
2005,0.593,8.217,Medium
2006,0.606,8.284,Medium
2007,0.615,8.397,Medium
2008,0.622,8.46,Medium
2009,0.628,8.572,Medium
2010,0.638,8.686,Medium
2011,0.653,8.775,Medium
2012,0.662,8.862,Medium
2013,0.667,8.876,Medium
2014,0.676,8.903,Medium
2015,0.682,8.935,Medium
2016,0.691,8.96,Medium
2017,0.693,9.003,Medium
2018,0.687,9.034,Medium
2019,0.685,9.041,Medium
2020,0.685,8.966,Medium
2021,0.679,9.039,Medium
2022,0.692,9.102,Medium
1990,0.624,8.341,Medium
1991,0.628,8.327,Medium
1992,0.634,8.363,Medium
1993,0.628,8.388,Medium
1994,0.624,8.434,Medium
1995,0.621,8.49,Medium
1996,0.619,8.546,Medium
1997,0.617,8.565,Medium
1998,0.615,8.606,Medium
1999,0.615,8.675,Medium
2000,0.617,8.67,Medium
2001,0.618,8.681,Medium
2002,0.621,8.68,Medium
2003,0.632,8.72,Medium
2004,0.637,8.762,Medium
2005,0.643,8.803,Medium
2006,0.649,8.847,Medium
2007,0.644,8.875,Medium
2008,0.638,8.85,Medium
2009,0.63,8.877,Medium
2010,0.628,8.904,Medium
2011,0.63,8.907,Medium
2012,0.627,8.906,Medium
2013,0.63,8.896,Medium
2014,0.638,8.897,Medium
2015,0.644,8.905,Medium
2016,0.653,8.905,Medium
2017,0.657,8.958,Medium
2018,0.653,8.999,Medium
2019,0.653,9.017,Medium
2020,0.653,8.941,Medium
2021,0.647,9.015,Medium
2022,0.66,9.077,Medium
1990,0.45,7.306,Low
1991,0.452,7.294,Low
1992,0.458,7.326,Low
1993,0.465,7.36,Low
1994,0.474,7.411,Low
1995,0.483,7.472,Low
1996,0.493,7.533,Low
1997,0.501,7.561,Low
1998,0.511,7.609,Low
1999,0.521,7.682,Low
2000,0.524,7.701,Low
2001,0.526,7.734,Low
2002,0.53,7.758,Low
2003,0.541,7.817,Low
2004,0.548,7.879,Low
2005,0.555,7.94,Medium
2006,0.561,8.004,Medium
2007,0.572,8.068,Medium
2008,0.581,8.084,Medium
2009,0.588,8.147,Medium
2010,0.599,8.211,Medium
2011,0.615,8.252,Medium
2012,0.625,8.29,Medium
2013,0.627,8.301,Medium
2014,0.633,8.324,Medium
2015,0.636,8.351,Medium
2016,0.642,8.372,Medium
2017,0.637,8.424,Medium
2018,0.626,8.463,Medium
2019,0.617,8.481,Medium
2020,0.617,8.41,Medium
2021,0.612,8.479,Medium
2022,0.624,8.538,Medium
1990,0.398,7.339,Low
1991,0.401,7.327,Low
1992,0.405,7.359,Low
1993,0.411,7.374,Low
1994,0.417,7.407,Low
1995,0.423,7.45,Low
1996,0.43,7.492,Low
1997,0.436,7.501,Low
1998,0.442,7.53,Low
1999,0.45,7.584,Low
2000,0.455,7.6,Low
2001,0.46,7.63,Low
2002,0.466,7.651,Low
2003,0.479,7.707,Low
2004,0.487,7.766,Low
2005,0.496,7.824,Low
2006,0.505,7.884,Low
2007,0.512,7.913,Low
2008,0.516,7.896,Low
2009,0.519,7.924,Low
2010,0.526,7.953,Low
2011,0.536,7.959,Low
2012,0.541,7.963,Low
2013,0.548,8.033,Low
2014,0.56,8.115,Medium
2015,0.568,8.202,Medium
2016,0.579,8.282,Medium
2017,0.591,8.374,Medium
2018,0.596,8.455,Medium
2019,0.604,8.514,Medium
2020,0.603,8.443,Medium
2021,0.598,8.512,Medium
2022,0.609,8.571,Medium
1990,0.627,8.036,Medium
1991,0.63,8.023,Medium
1992,0.636,8.058,Medium
1993,0.634,8.082,Medium
1994,0.629,8.126,Medium
1995,0.626,8.18,Medium
1996,0.624,8.234,Medium
1997,0.621,8.252,Medium
1998,0.619,8.291,Medium
1999,0.619,8.359,Medium
2000,0.62,8.353,Medium
2001,0.62,8.364,Medium
2002,0.623,8.363,Medium
2003,0.635,8.401,Medium
2004,0.641,8.442,Medium
2005,0.647,8.482,Medium
2006,0.653,8.524,Medium
2007,0.648,8.55,Medium
2008,0.641,8.527,Medium
2009,0.633,8.552,Medium
2010,0.631,8.579,Medium
2011,0.632,8.581,Medium
2012,0.629,8.581,Medium
2013,0.636,8.657,Medium
2014,0.647,8.745,Medium
2015,0.655,8.839,Medium
2016,0.666,8.926,Medium
2017,0.673,8.996,Medium
2018,0.672,9.054,Medium
2019,0.675,9.087,Medium
2020,0.675,9.011,Medium
2021,0.669,9.086,Medium
2022,0.681,9.148,Medium
1990,0.443,7.448,Low
1991,0.446,7.436,Low
1992,0.452,7.468,Low
1993,0.456,7.487,Low
1994,0.462,7.525,Low
1995,0.468,7.572,Low
1996,0.475,7.618,Low
1997,0.481,7.631,Low
1998,0.487,7.664,Low
1999,0.495,7.723,Low
2000,0.499,7.729,Low
2001,0.502,7.75,Low
2002,0.506,7.761,Low
2003,0.518,7.808,Low
2004,0.525,7.856,Low
2005,0.532,7.905,Low
2006,0.54,7.955,Low
2007,0.547,8.002,Low
2008,0.552,8.002,Medium
2009,0.556,8.048,Medium
2010,0.564,8.095,Medium
2011,0.575,8.119,Medium
2012,0.582,8.141,Medium
2013,0.59,8.205,Medium
2014,0.603,8.28,Medium
2015,0.613,8.361,Medium
2016,0.625,8.436,Medium
2017,0.63,8.493,Medium
2018,0.627,8.539,Medium
2019,0.628,8.562,Medium
2020,0.628,8.49,Medium
2021,0.623,8.56,Medium
2022,0.635,8.619,Medium
