state,year,hdi
tamil nadu,2014,0.676
tamil nadu,2019,0.685
tamil nadu,2022,0.692
telangana,1990,0.624
telangana,1996,0.619
telangana,1999,0.615
telangana,2004,0.637
telangana,2009,0.63
telangana,2014,0.638
telangana,2019,0.653
telangana,2022,0.66
tripura,1990,0.45
tripura,1996,0.493
tripura,1999,0.521
tripura,2004,0.548
tripura,2009,0.588
tripura,2014,0.633
tripura,2019,0.617
tripura,2022,0.624
uttar pradesh,1990,0.398
uttar pradesh,1996,0.43
uttar pradesh,1999,0.45
uttar pradesh,2004,0.487
uttar pradesh,2009,0.519
uttar pradesh,2014,0.56
uttar pradesh,2019,0.604
uttar pradesh,2022,0.609
uttarakhand,1990,0.627
uttarakhand,1996,0.624
uttarakhand,1999,0.619
uttarakhand,2004,0.641
uttarakhand,2009,0.633
uttarakhand,2014,0.647
uttarakhand,2019,0.675
uttarakhand,2022,0.681
west bengal,1990,0.443
west bengal,1996,0.475
west bengal,1999,0.495
west bengal,2004,0.525
west bengal,2009,0.556
west bengal,2014,0.603
west bengal,2019,0.628
west bengal,2022,0.635
