iso3,country,region,year,hdi,gnipc,log_gnipc,hdi_pred,residual
PHL,Philippines,EAP,2022,0.714,9865.370726,9.19678599767965,0.69886551951276,0.015134480487239976
POL,Poland,,2022,0.902,42129.48006,10.648503013572435,0.8760948520331311,0.025905147966868936
PRT,Portugal,,2022,0.883,39867.76499,10.593323381367455,0.8693583811663252,0.013641618833674762
QAT,Qatar,AS,2022,0.883,106501.6449,11.575915709082766,0.9893157698820081,-0.10631576988200808
ROU,Romania,,2022,0.84,38442.75611,10.556925559525425,0.8649148418266066,-0.024914841826606637
RUS,Russian Federation,,2022,0.826,37462.90234,10.53110645137372,0.8617627789562932,-0.035762778956293206
RWA,Rwanda,SSA,2022,0.57,2804.166731,7.9388617082269235,0.5452948995226355,0.024705100477364406
KNA,Saint Kitts and Nevis,LAC,2022,0.829,28394.26155,10.253942345634218,0.8279258748482234,0.0010741251517765171
LCA,Saint Lucia,LAC,2022,0.747,20539.38779,9.93009967729346,0.7883903322298491,-0.041390332229849114
VCT,Saint Vincent and the Grenadines,LAC,2022,0.794,16152.68012,9.689841266585129,0.7590589699215715,0.034941030078428525
WSM,Samoa,EAP,2022,0.703,5510.816082,8.614468000435766,0.6277746465421323,0.07522535345786763
SMR,San Marino,,2022,0.91,58043.3845,10.968946018530227,0.9152153550359599,-0.005215355035959823
STP,Sao Tome and Principe,SSA,2022,0.636,5673.382688,8.643540812833871,0.6313239299626601,0.004676070037339941
SAU,Saudi Arabia,AS,2022,0.893,51430.70374,10.847990622128581,0.9004488103620882,-0.007448810362088221
SEN,Senegal,SSA,2022,0.526,4172.138896,8.336184107992178,0.593801036004395,-0.06780103600439502
SRB,Serbia,ECA,2022,0.826,22577.78338,10.024721665480135,0.7999420269640749,0.026057973035925053
SYC,Seychelles,SSA,2022,0.836,27682.19433,10.22854468151726,0.8248252629453885,0.011174737054611472
SLE,Sierra Leone,SSA,2022,0.463,1657.141116,7.412849177348936,0.48107794213750443,-0.01807794213750441
SGP,Singapore,EAP,2022,0.942,108655.3781,11.595936483769236,0.9917599573478701,-0.0497599573478702
SVK,Slovakia,,2022,0.873,36462.09724,10.504028568245927,0.8584570416119857,0.014542958388014338
SVN,Slovenia,,2022,0.926,45469.65548,10.724800469926485,0.8854094409747746,0.04059055902522546
SLB,Solomon Islands,EAP,2022,0.583,2732.140904,7.91284079476335,0.5421181997428349,0.040881800257165035
SOM,Somalia,AS,2022,0.385,1454.687061,7.2825460781224125,0.46517020595446446,-0.08017020595446445
ZAF,South Africa,SSA,2022,0.737,13819.63409,9.533845620125991,0.740014621749463,-0.0030146217494629868
SSD,South Sudan,SSA,2022,0.388,701.4570353,6.553159650767347,0.37612484225453013,0.011875157745469878
ESP,Spain,,2022,0.911,44887.43669,10.711913228118418,0.8838361334784317,0.027163866521568325
LKA,Sri Lanka,SA,2022,0.777,12910.50608,9.465796683692039,0.7317070332519253,0.0452929667480747
SDN,Sudan,AS,2022,0.516,3234.253662,8.08155347305369,0.5627150757412418,-0.046715075741241785
SUR,Suriname,LAC,2022,0.719,17045.33069,9.743631585381166,0.7656258298480683,-0.04662582984806829
SWE,Sweden,,2022,0.959,67099.33899,11.113929471793515,0.9329153064500781,0.026084693549921822
CHE,Switzerland,,2022,0.966,82399.82968,11.319338648905136,0.9579921850390247,0.008007814960975246
SYR,Syrian Arab Republic,AS,2022,0.571,4303.100558,8.36709110184279,0.5975742409957181,-0.026574240995718146
TJK,Tajikistan,ECA,2022,0.687,5416.831204,8.597266274751506,0.6256746158007107,0.061325384199289346
TZA,Tanzania (United Republic of),SSA,2022,0.554,3444.732422,8.144601509023342,0.5704121414980622,-0.01641214149806214
THA,Thailand,EAP,2022,0.792,20180.50927,9.912472529961814,0.7862383649238072,0.0057616350761928725
TLS,Timor-Leste,EAP,2022,0.633,5459.912422,8.60518802868357,0.6266417238158404,0.006358276184159628
TGO,Togo,SSA,2022,0.567,2747.706475,7.918521833590634,0.5428117555173828,0.02418824448261714
TON,Tonga,EAP,2022,0.764,6988.693278,8.85204887612119,0.6567791285151139,0.10722087148488613
TTO,Trinidad and Tobago,LAC,2022,0.805,26509.44043,10.18525619117648,0.819540493141824,-0.01454049314182393
TUN,Tunisia,AS,2022,0.745,12121.95898,9.402773878575461,0.7240130477422884,0.020986952257711633
TKM,Turkmenistan,ECA,2022,0.761,16885.82983,9.734230077599607,0.7644780696919429,-0.0034780696919428644
TUV,Tuvalu,EAP,2022,0.686,6795.716004,8.824047693219416,0.6533606723689551,0.032639327631044934
TUR,Türkiye,ECA,2022,0.853,32923.6859,10.401947613893947,0.845994737178833,0.00700526282116698
UGA,Uganda,SSA,2022,0.578,2669.577833,7.88967562391153,0.5392901363373347,0.03870986366266527
UKR,Ukraine,ECA,2022,0.772,16043.86621,9.683081887912268,0.7582337676560276,0.013766232343972451
ARE,United Arab Emirates,AS,2022,0.921,70818.02952,11.167868901500212,0.939500370218562,-0.01850037021856199
GBR,United Kingdom,,2022,0.946,55257.70776,10.919763116618133,0.9092109803666071,0.03678901963339287
USA,United States,,2022,0.93,72993.29894,11.198122920574612,0.9431938583763193,-0.013193858376319256
URY,Uruguay,LAC,2022,0.852,27826.69481,10.233751083902487,0.8254608738870972,0.026539126112902767
