State,Year,HDI
Tamil Nadu,1998,0.519
Tamil Nadu,1999,0.528
Tamil Nadu,2000,0.536
Tamil Nadu,2001,0.543
Tamil Nadu,2002,0.552
Tamil Nadu,2003,0.569
Tamil Nadu,2004,0.581
Tamil Nadu,2005,0.593
Tamil Nadu,2006,0.606
Tamil Nadu,2007,0.615
Tamil Nadu,2008,0.622
Tamil Nadu,2009,0.628
Tamil Nadu,2010,0.638
Tamil Nadu,2011,0.653
Tamil Nadu,2012,0.662
Tamil Nadu,2013,0.667
Tamil Nadu,2014,0.676
Tamil Nadu,2015,0.682
Tamil Nadu,2016,0.691
Tamil Nadu,2017,0.693
Tamil Nadu,2018,0.687
Tamil Nadu,2019,0.685
Tamil Nadu,2020,0.685
Tamil Nadu,2021,0.679
Tamil Nadu,2022,0.692
Telangana,1990,0.624
Telangana,1991,0.628
Telangana,1992,0.634
Telangana,1993,0.628
Telangana,1994,0.624
Telangana,1995,0.621
Telangana,1996,0.619
Telangana,1997,0.617
Telangana,1998,0.615
Telangana,1999,0.615
Telangana,2000,0.617
Telangana,2001,0.618
Telangana,2002,0.621
Telangana,2003,0.632
Telangana,2004,0.637
Telangana,2005,0.643
Telangana,2006,0.649
Telangana,2007,0.644
Telangana,2008,0.638
Telangana,2009,0.63
Telangana,2010,0.628
Telangana,2011,0.63
Telangana,2012,0.627
Telangana,2013,0.63
Telangana,2014,0.638
Telangana,2015,0.644
Telangana,2016,0.653
Telangana,2017,0.657
Telangana,2018,0.653
Telangana,2019,0.653
Telangana,2020,0.653
Telangana,2021,0.647
Telangana,2022,0.66
Tripura,1990,0.45
Tripura,1991,0.452
Tripura,1992,0.458
Tripura,1993,0.465
Tripura,1994,0.474
Tripura,1995,0.483
Tripura,1996,0.493
Tripura,1997,0.501
Tripura,1998,0.511
Tripura,1999,0.521
Tripura,2000,0.524
Tripura,2001,0.526
Tripura,2002,0.53
Tripura,2003,0.541
Tripura,2004,0.548
Tripura,2005,0.555
Tripura,2006,0.561
Tripura,2007,0.572
Tripura,2008,0.581
Tripura,2009,0.588
Tripura,2010,0.599
Tripura,2011,0.615
Tripura,2012,0.625
Tripura,2013,0.627
Tripura,2014,0.633
Tripura,2015,0.636
Tripura,2016,0.642
Tripura,2017,0.637
Tripura,2018,0.626
Tripura,2019,0.617
Tripura,2020,0.617
Tripura,2021,0.612
Tripura,2022,0.624
Uttar Pradesh,1990,0.398
Uttar Pradesh,1991,0.401
Uttar Pradesh,1992,0.405
Uttar Pradesh,1993,0.411
Uttar Pradesh,1994,0.417
Uttar Pradesh,1995,0.423
Uttar Pradesh,1996,0.43
Uttar Pradesh,1997,0.436
Uttar Pradesh,1998,0.442
Uttar Pradesh,1999,0.45
Uttar Pradesh,2000,0.455
Uttar Pradesh,2001,0.46
Uttar Pradesh,2002,0.466
Uttar Pradesh,2003,0.479
Uttar Pradesh,2004,0.487
Uttar Pradesh,2005,0.496
Uttar Pradesh,2006,0.505
Uttar Pradesh,2007,0.512
Uttar Pradesh,2008,0.516
Uttar Pradesh,2009,0.519
Uttar Pradesh,2010,0.526
Uttar Pradesh,2011,0.536
Uttar Pradesh,2012,0.541
Uttar Pradesh,2013,0.548
Uttar Pradesh,2014,0.56
Uttar Pradesh,2015,0.568
Uttar Pradesh,2016,0.579
Uttar Pradesh,2017,0.591
Uttar Pradesh,2018,0.596
Uttar Pradesh,2019,0.604
Uttar Pradesh,2020,0.603
Uttar Pradesh,2021,0.598
Uttar Pradesh,2022,0.609
Uttaranchal,1990,0.627
Uttaranchal,1991,0.63
Uttaranchal,1992,0.636
Uttaranchal,1993,0.634
Uttaranchal,1994,0.629
Uttaranchal,1995,0.626
Uttaranchal,1996,0.624
Uttaranchal,1997,0.621
Uttaranchal,1998,0.619
Uttaranchal,1999,0.619
Uttaranchal,2000,0.62
Uttaranchal,2001,0.62
Uttaranchal,2002,0.623
Uttaranchal,2003,0.635
Uttaranchal,2004,0.641
Uttaranchal,2005,0.647
Uttaranchal,2006,0.653
Uttaranchal,2007,0.648
Uttaranchal,2008,0.641
Uttaranchal,2009,0.633
Uttaranchal,2010,0.631
Uttaranchal,2011,0.632
Uttaranchal,2012,0.629
Uttaranchal,2013,0.636
Uttaranchal,2014,0.647
Uttaranchal,2015,0.655
Uttaranchal,2016,0.666
Uttaranchal,2017,0.673
Uttaranchal,2018,0.672
Uttaranchal,2019,0.675
Uttaranchal,2020,0.675
Uttaranchal,2021,0.669
Uttaranchal,2022,0.681
West Bengal,1990,0.443
West Bengal,1991,0.446
West Bengal,1992,0.452
West Bengal,1993,0.456
West Bengal,1994,0.462
West Bengal,1995,0.468
West Bengal,1996,0.475
West Bengal,1997,0.481
West Bengal,1998,0.487
West Bengal,1999,0.495
West Bengal,2000,0.499
West Bengal,2001,0.502
West Bengal,2002,0.506
West Bengal,2003,0.518
West Bengal,2004,0.525
West Bengal,2005,0.532
West Bengal,2006,0.54
West Bengal,2007,0.547
West Bengal,2008,0.552
West Bengal,2009,0.556
West Bengal,2010,0.564
West Bengal,2011,0.575
West Bengal,2012,0.582
West Bengal,2013,0.59
West Bengal,2014,0.603
West Bengal,2015,0.613
West Bengal,2016,0.625
West Bengal,2017,0.63
West Bengal,2018,0.627
West Bengal,2019,0.628
West Bengal,2020,0.628
West Bengal,2021,0.623
West Bengal,2022,0.635
