iso3,country,region,year,hdi,GNI_pc,population,HDI_category
BGD,Bangladesh,SA,2000,0.477,2324.918795,134544304.5,Low
BTN,Bhutan,SA,2000,,5323.152297,596863.0,Low
CHN,China,EAP,2000,0.598,3945.034126,1269581176.0,Medium
IND,India,SA,2000,0.501,3069.545308,1057922733.0,Low
KGZ,Kyrgyzstan,ECA,2000,0.627,3423.165737,5025145.5,Medium
NPL,Nepal,SA,2000,0.471,2319.285531,24546509.0,Low
PAK,Pakistan,SA,2000,0.436,3467.718132,154879126.5,Low
LKA,Sri Lanka,SA,2000,0.702,6486.163906,19293053.5,High
TUR,Türkiye,ECA,2000,0.669,15571.16702,65425961.5,Medium
BGD,Bangladesh,SA,2001,0.486,2402.707335,136805810.5,Low
BTN,Bhutan,SA,2001,,5564.74724,610794.5,Low
CHN,China,EAP,2001,0.608,4233.296585,1278725063.0,Medium
IND,India,SA,2001,0.511,3164.162422,1077898575.0,Low
KGZ,Kyrgyzstan,ECA,2001,0.634,3634.40689,5071955.5,Medium
NPL,Nepal,SA,2001,0.472,2421.555724,24946748.0,Low
PAK,Pakistan,SA,2001,0.443,3478.176774,159270907.0,Low
LKA,Sri Lanka,SA,2001,0.704,6342.148127,19600362.5,High
TUR,Türkiye,ECA,2001,0.675,14217.98034,66245128.0,Medium
BGD,Bangladesh,SA,2002,0.494,2496.721039,138933658.0,Low
BTN,Bhutan,SA,2002,,5905.64036,624408.5,Low
CHN,China,EAP,2002,0.619,4606.563715,1286866839.0,Medium
IND,India,SA,2002,0.516,3230.410192,1097600381.0,Low
KGZ,Kyrgyzstan,ECA,2002,0.635,3621.150694,5116254.0,Medium
NPL,Nepal,SA,2002,0.479,2376.250689,25328981.0,Low
PAK,Pakistan,SA,2002,0.45,3474.511173,163222549.5,Low
LKA,Sri Lanka,SA,2002,0.709,6544.956366,19805752.0,High
TUR,Türkiye,ECA,2002,0.685,14922.05461,67048795.49999999,Medium
BGD,Bangladesh,SA,2003,0.503,2612.91354,140970351.5,Low
BTN,Bhutan,SA,2003,,6166.206353,637663.5,Low
CHN,China,EAP,2003,0.63,5056.371271,1294517326.0,Medium
IND,India,SA,2003,0.529,3424.492756,1116803006.0,Low
KGZ,Kyrgyzstan,ECA,2003,0.642,3868.399879,5159421.5,Medium
NPL,Nepal,SA,2003,0.486,2436.18024,25688758.5,Low
PAK,Pakistan,SA,2003,0.458,3599.030337,167110248.0,Low
LKA,Sri Lanka,SA,2003,0.713,6902.845735,19951521.5,High
TUR,Türkiye,ECA,2003,0.691,15533.28766,67831729.5,Medium
BGD,Bangladesh,SA,2004,0.511,2732.833475,142902855.5,Low
BTN,Bhutan,SA,2004,,6327.264659,650544.5,Low
CHN,China,EAP,2004,0.642,5553.125764,1302100316.0,Medium
IND,India,SA,2004,0.538,3634.455914,1135991514.0,Low
KGZ,Kyrgyzstan,ECA,2004,0.646,4048.630132,5203041.0,Medium
