State,residual_HDI,WPR_z,Urban_MPCE_z,Rural_MPCE_z
Andaman and Nicobar Islands,-0.004049135,0.5903101942623895,1.7539833826503828,1.820422541355338
Andhra Pradesh,-0.032105031,0.8032477392868989,-0.10256358974607362,0.11542244069914942
Arunachal Pradesh,0.004562943,0.7890519029519313,0.8675930705566456,0.33730601544207806
Assam,0.015827301,-1.6384361103274747,-0.4677410685394786,-0.9429038204102143
Bihar,-0.006483741,-1.7945903100121146,-1.2293030970276742,-1.0100527969771531
Chandigarth,0.005943416,-0.5169650398650586,3.01814350039247,1.9189563656655202
Chhattisgarh,-0.009414311,1.4704520470303617,-1.3727461246796564,-1.6516174752634503
Dadra and Nagar Haveli,-0.013926765,1.0019894479764406,-0.4151817912318821,-0.4443956574187002
Daman and Diu,-0.011579045,1.0019894479764406,-0.4151817912318821,-0.4443956574187002
Goa,0.0137725981527329,-0.4175941855202882,0.9289122274155082,1.8612958314395618
Gujarat,-0.035715347,0.7322685576120623,-0.23779423031874383,-0.7429166510695483
Haryana,-0.019551978,-0.8860567845742083,0.48380084771680015,0.05411250557281387
Himachal Pradesh,0.002492148,1.7827604463996416,0.5577123314306077,0.5365633046026687
Jammu and Kashmir,0.017444098,-0.8718609482392409,-0.4732159932590199,-0.350970994369046
Jharkhand,0.005627654,-1.1131901659336851,-1.1597715530894996,-1.4903139554667817
Karnataka,-0.011056982,0.4483518309127166,0.39236960490046036,-0.18966747457237748
Kerala,0.040223468,-0.5595525488699611,0.020622216443605748,0.8190269342918574
Lakshadweep,-0.000298595,-2.1920737273911985,-0.8504383064354158,0.8328946577132904
Madhya Pradesh,-0.016506487,-0.1762649678258439,-1.124184542412481,-1.2260973302794784
Maharashtra,0.008601383,0.6754852122721934,-0.20877712930517492,-0.5560673249702399
Manipur,0.050576079,-0.6021400578748626,-1.1838612218554814,-0.3414825520280655
Meghalaya,0.009848682,0.1786309405483383,-0.33634287527048734,-0.954581903291421
Mizoram,-0.000229562,0.13604343154343684,0.3283129856818271,0.29570284517777895
Nagaland,0.021169334578454,0.4199601582427826,0.05182928734499118,-0.2779829763615037
New Delhi,0.002407819,-0.7299025848895679,0.6491435742469476,1.2825008486397511
Orissa,-0.007554537,-0.4033983491853207,-1.0081161383582053,-1.3443379194516971
Puducherry,0.016666889,-0.21885247683074535,0.3704699060222951,1.3058570144021646
Punjab,-0.030196809,-0.1478732951559089,-0.2668113313323128,0.38328846678682976
Rajasthan,-0.022105031,-0.048502440811138504,-0.59913926180847,-0.35753991598972484
Sikkim,0.019630212,2.8048606625172865,2.7706769030692033,2.1525180232896557
Tamil Nadu,0.009113836,0.3063934675630437,0.37101739849424925,0.4518972037139195
Telangana,-0.01995912,0.547722685257488,0.6496910667189016,0.08841687403635876
Tripura,0.007147954,0.49093933991761907,0.22374192353858816,0.3380358956221535
Uttar Pradesh,-0.011715744,-1.0706026569287828,-1.0732677425207469,-1.1392415888505032
Uttaranchal,-0.007271926,-0.7440984212245354,-0.016607271649275127,-0.08529460882159197
West Bengal,0.008664331,-0.048502440811138504,-0.8969751665515169,-1.044357165440698
