Year,Indicator,Value,Scenario
2017,Life_expectancy,70.068,Observed
2017,Expected_years_schooling,12.50761032,Observed
2017,Mean_years_schooling,6.013944864,Observed
2017,GNI_per_capita,7282.890554,Observed
2018,HDI,0.648,Observed
2018,Life_expectancy,70.415,Observed
2018,Expected_years_schooling,11.81653976,Observed
2018,Mean_years_schooling,6.239999771,Observed
2018,GNI_per_capita,7670.645786,Observed
2019,HDI,0.651,Observed
2019,Life_expectancy,70.746,Observed
2019,Expected_years_schooling,11.75397968,Observed
2019,Mean_years_schooling,6.281380177,Observed
2019,GNI_per_capita,7895.441397,Observed
2020,HDI,0.652,Observed
2020,Life_expectancy,70.156,Observed
2020,Expected_years_schooling,12.1291399,Observed
2020,Mean_years_schooling,6.489999771,Observed
2020,GNI_per_capita,7331.951385,Observed
2021,HDI,0.647,Observed
2021,Life_expectancy,67.282,Observed
2021,Expected_years_schooling,12.40237045,Observed
2021,Mean_years_schooling,6.529999971,Observed
2021,GNI_per_capita,7992.775136,Observed
2022,HDI,0.676,Observed
2022,Life_expectancy,71.698,Observed
2022,Expected_years_schooling,12.95646,Observed
2022,Mean_years_schooling,6.570000172,Observed
2022,GNI_per_capita,8475.67988,Observed
2023,HDI,0.685,Observed
2023,Life_expectancy,72.003,Observed
2023,Expected_years_schooling,12.95454025,Observed
2023,Mean_years_schooling,6.880000114,Observed
2023,GNI_per_capita,9046.756336,Observed
2024,Life_expectancy,72.16954166666666,Scenario A (Entry)
2024,Expected_years_schooling,12.998101072916668,Scenario A (Entry)
2024,Mean_years_schooling,7.010000109250001,Scenario A (Entry)
2024,GNI_per_capita,9409.055957300803,Scenario A (Entry)
2024,HDI,0.68940328504302,Scenario A (Entry)
2025,Life_expectancy,72.33608333333333,Scenario A (Entry)
2025,Expected_years_schooling,13.041661895833334,Scenario A (Entry)
2025,Mean_years_schooling,7.1400001045,Scenario A (Entry)
2025,GNI_per_capita,9785.86475854629,Scenario A (Entry)
2025,HDI,0.6942619329297532,Scenario A (Entry)
2026,Life_expectancy,72.502625,Scenario A (Entry)
2026,Expected_years_schooling,13.08522271875,Scenario A (Entry)
2026,Mean_years_schooling,7.270000099750001,Scenario A (Entry)
2026,GNI_per_capita,10177.763795554043,Scenario A (Entry)
2026,HDI,0.6991154835600648,Scenario A (Entry)
2027,Life_expectancy,72.66916666666667,Scenario A (Entry)
2027,Expected_years_schooling,13.128783541666667,Scenario A (Entry)
2027,Mean_years_schooling,7.400000095,Scenario A (Entry)
2027,GNI_per_capita,10585.357393951836,Scenario A (Entry)
2027,HDI,0.7039640241755385,Scenario A (Entry)
2028,Life_expectancy,72.83570833333333,Scenario A (Entry)
2028,Expected_years_schooling,13.172344364583335,Scenario A (Entry)
2028,Mean_years_schooling,7.530000090250001,Scenario A (Entry)
2028,GNI_per_capita,11009.274081074425,Scenario A (Entry)
2028,HDI,0.7088076399129459,Scenario A (Entry)
2029,Life_expectancy,73.00225,Scenario A (Entry)
2029,Expected_years_schooling,13.2159051875,Scenario A (Entry)
2029,Mean_years_schooling,7.6600000855,Scenario A (Entry)
2029,GNI_per_capita,11450.167555180482,Scenario A (Entry)
2029,HDI,0.7136464138708276,Scenario A (Entry)
2030,Life_expectancy,73.16879166666666,Scenario A (Entry)
2030,Expected_years_schooling,13.259466010416666,Scenario A (Entry)
2030,Mean_years_schooling,7.7900000807500005,Scenario A (Entry)
2030,GNI_per_capita,11908.71769348418,Scenario A (Entry)
2030,HDI,0.7184804271734451,Scenario A (Entry)
2031,Life_expectancy,73.33533333333334,Scenario A (Entry)
2031,Expected_years_schooling,13.303026833333334,Scenario A (Entry)
2031,Mean_years_schooling,7.920000076,Scenario A (Entry)
2031,GNI_per_capita,12385.631600555887,Scenario A (Entry)
2031,HDI,0.72330975903223,Scenario A (Entry)
2032,Life_expectancy,73.501875,Scenario A (Entry)
2032,Expected_years_schooling,13.346587656250001,Scenario A (Entry)
2032,Mean_years_schooling,8.05000007125,Scenario A (Entry)
2032,GNI_per_capita,12881.64469870867,Scenario A (Entry)
2032,HDI,0.7281344868048469,Scenario A (Entry)
2033,Life_expectancy,73.66841666666667,Scenario A (Entry)
2033,Expected_years_schooling,13.390148479166667,Scenario A (Entry)
2033,Mean_years_schooling,8.1800000665,Scenario A (Entry)
2033,GNI_per_capita,13397.521862051964,Scenario A (Entry)
2033,HDI,0.7329546860519839,Scenario A (Entry)
2034,Life_expectancy,73.83495833333333,Scenario A (Entry)
2034,Expected_years_schooling,13.433709302083333,Scenario A (Entry)
2034,Mean_years_schooling,8.31000006175,Scenario A (Entry)
2034,GNI_per_capita,13934.05859596126,Scenario A (Entry)
2034,HDI,0.7377704305919728,Scenario A (Entry)
